"name","code","lifeExp","meanSchool","gniPerCap","homicide","internetUser","genderInequality","predPopGrowth","medAge","GDPGrowth"
"Panama","PAN",76.3,9.4,13519,21.6,42.7,0.503,0.25,27.3,0.6928184948
"Mexico","MEX",77.1,8.5,12947,22.7,31.1,0.382,0.1662360034,26.6,0.0778705813
"Costa Rica","CRI",79.4,8.4,10863,11.3,36.5,0.346,0.1875,28.4,0.3189136045
"Libya","LBY",75,7.3,13765,2.9,14,0.216,0.2,25.9,0.2169056484
"Malaysia","MYS",74.5,9.5,13676,2.3,56.3,0.256,0.2730375427,26,0.3392105005
"Trinidad and Tobago","TTO",70.3,9.2,21941,35.2,48.5,0.311,0,30.8,0.6366577982
"Kazakhstan","KAZ",67.4,10.4,10451,8.8,33.4,0.312,0.1524390244,29,1.1398446171
"Albania","ALB",77.1,10.4,7822,4,45,0.251,0.03125,30,0.6377083333
"Venezuela (Bolivarian Republic of)","VEN",74.6,7.6,11475,45.1,35.9,0.466,0.237458194,26.1,0.1771225429
"Georgia","GEO",73.9,12.1,5005,4.3,26.3,0.438,-0.1162790698,37.3,0.9288569145
"Lebanon","LBN",72.8,7.9,12364,2.2,31,0.433,0.0930232558,29.1,0.495132128
"Iran (Islamic Republic of)","IRN",73.2,7.8,10695,3,13,0.496,0.1164021164,27.1,0.3943755831
"Peru","PER",74.2,8.7,9306,10.3,34.3,0.387,0.1952861953,25.6,0.6325094714
"The former Yugoslav Republic of Macedonia","MKD",75,8.2,9377,1.9,51.9,0.162,-0.0476190476,35.9,0.2792365999
"Ukraine","UKR",68.8,11.3,6428,5.2,44.6,0.338,-0.0979955457,39.3,0.720508658
"Mauritius","MUS",73.5,7.2,13300,2.5,28.7,0.377,0.0769230769,32.4,0.3914135897
"Azerbaijan","AZE",70.9,11.2,8153,2.2,46.7,0.323,0.1489361702,29.5,2.5702811245
"Oman","OMN",73.2,5.5,24092,0.7,62,0.34,0.2413793103,25.3,0.3335088181
"Brazil","BRA",73.8,7.2,10152,21,40.7,0.447,0.111391129,29.1,0.2995321785
"Jamaica","JAM",73.3,9.6,6701,52.2,26.5,0.458,0,27,0.053305539
"Armenia","ARM",74.4,10.8,5540,1.4,44,0.34,0,32.1,1.2274509804
"Ecuador","ECU",75.8,7.6,7471,18.2,29,0.442,0.2013422819,25.5,0.3832001487
"Turkey","TUR",74.2,6.5,13710,3.3,39.8,0.366,0.1637583893,28.3,0.3701668702
"Colombia","COL",73.9,7.3,8711,33.4,36.5,0.459,0.1953781513,26.8,0.3387218613
"Sri Lanka","LKA",75.1,9.3,5170,3.6,12,0.402,0.0896226415,30.7,0.640266223
"Algeria","DZA",73.4,7.6,7418,1.5,12.5,0.391,0.1917808219,26.2,0.2568656471
"Tunisia","TUN",74.7,6.5,8103,1.1,36.6,0.261,0.1401869159,28.9,0.3588941912
"Tonga","TON",72.5,10.3,4153,1,12,0.462,0,21.3,0.0584583549
"Belize","BLZ",76.3,8,5327,41.4,12.6,0.435,0.3333333333,21.8,0.0489236791
"Dominican Republic","DOM",73.6,7.2,8506,25,39.5,0.508,0.1862745098,25.1,0.4954191876
"Jordan","JOR",73.5,8.6,5272,1.8,38.9,0.482,0.2923076923,20.7,0.4672793094
"China","CHN",73.7,7.5,7945,1.1,34.4,0.213,0.0291814421,34.5,1.7814023247
"Thailand","THA",74.3,6.6,7722,4.8,21.2,0.36,0.0486409156,34.2,0.3885755867
"Maldives","MDV",77.1,5.8,7478,1.6,28.3,0.357,0.3333333333,24.6,0.7934981685
"Suriname","SUR",70.8,7.2,7327,4.6,31.6,0.467,0.2,27.6,0.4323126511
"Gabon","GAB",63.1,7.5,12521,13.8,7.2,0.492,0.3125,21.6,0.0563731039
"El Salvador","SLV",72.4,7.5,5915,69.2,15.9,0.441,0.126984127,23.2,0.1665055115
"Bolivia (Plurinational State of)","BOL",66.9,9.2,4444,8.9,20,0.474,0.3137254902,21.7,0.2612839922
"Mongolia","MNG",68.8,8.3,4245,8.7,12.9,0.328,0.25,25.4,0.8922101449
"Paraguay","PRY",72.7,7.7,4497,11.5,19.8,0.472,0.2985074627,23.1,0.2525039536
"Egypt","EGY",73.5,6.4,5401,1.2,26.7,0.59,0.2678571429,24.4,0.3395315141
"Moldova (Republic of)","MDA",69.6,9.7,3319,7.5,40.1,0.303,-0.1142857143,35.2,0.7954133977
"Philippines","PHL",69,8.9,3752,5.4,25,0.418,0.3088082902,22.2,0.3463107156
"Syrian Arab Republic","SYR",76,5.7,4674,2.3,20.7,0.551,0.3222748815,21.1,0.2622470714
